iter	Passed	Remaining
1183	48291	74069
1184	48329	74022
1185	48366	73976
1186	48406	73934
1187	48446	73893
1188	48491	73859
1189	48535	73823
1190	48576	73782
1191	48624	73752
1192	48663	73708
1193	48700	73662
1194	48739	73618
1195	48776	73572
1196	48818	73533
1197	48859	73493
1198	48901	73454
1199	48946	73419
1200	48985	73376
1201	49024	73332
1202	49068	73297
1203	49123	73277
1204	49163	73234
1205	49202	73192
1206	49241	73147
1207	49279	73102
1208	49324	73068
1209	49362	73024
1210	49403	72983
1211	49444	72943
1212	49483	72899
1213	49523	72857
1214	49566	72819
1215	49611	72785
1216	49650	72741
1217	49688	72697
1218	49727	72653
1219	49766	72609
1220	49803	72564
1221	49840	72517
1222	49882	72477
1223	49922	72436
1224	49961	72393
1225	49999	72347
1226	50044	72314
1227	50085	72273
1228	50136	72246
1229	50174	72202
1230	50213	72158
1231	50256	72121
1232	50296	72078
1233	50336	72038
1234	50376	71995
1235	50419	71957
1236	50463	71922
1237	50499	71873
1238	50539	71832
1239	50579	71790
1240	50627	71759
1241	50664	71713
1242	50701	71667
1243	50742	71627
1244	50788	71593
1245	50824	71545
1246	50873	71517
1247	50916	71478
1248	50957	71438
1249	50999	71398
1250	51042	71361
1251	51084	71322
1252	51130	71288
1253	51178	71257
1254	51216	71213
1255	51254	71168
1256	51299	71133
1257	51342	71096
1258	51386	71059
1259	51429	71022
1260	51470	70981
1261	51509	70937
1262	51547	70893
1263	51585	70848
1264	51625	70806
1265	51656	70752
1266	51691	70703
1267	51729	70659
1268	51769	70617
1269	51812	70578
1270	51852	70538
1271	51894	70498
1272	51934	70456
1273	51975	70415
1274	52017	70376
1275	52059	70337
1276	52109	70308
1277	52148	70265
1278	52182	70215
1279	52221	70172
1280	52267	70139
1281	52306	70095
1282	52345	70052
1283	52386	70011
1284	52430	69975
1285	52470	69933
1286	52508	69888
1287	52541	69838
1288	52581	69795
1289	52623	69756
1290	52668	69721
1291	52710	69681
1292	52752	69642
1293	52789	69597
1294	52835	69563
1295	52879	69526
1296	52919	69484
1297	52961	69446
1298	53000	69403
1299	53041	69361
1300	53078	69316
1301	53118	69274
1302	53155	69229
1303	53194	69185
1304	53236	69146
1305	53280	69109
1306	53329	69079
1307	53369	69038
1308	53409	68995
1309	53452	68957
1310	53489	68912
1311	53535	68878
1312	53574	68834
1313	53615	68794
1314	53652	68748
1315	53691	68705
1316	53729	68661
1317	53770	68620
1318	53811	68579
1319	53848	68534
1320	53890	68495
1321	53928	68451
1322	53971	68413
1323	54006	68364
1324	54045	68321
1325	54082	68276
1326	54120	68231
1327	54160	68190
1328	54194	68141
1329	54232	68097
1330	54272	68054
1331	54312	68012
1332	54364	67986
1333	54409	67951
1334	54455	67916
1335	54501	67881
1336	54549	67850
1337	54590	67809
1338	54631	67769
1339	54679	67737
1340	54717	67692
1341	54761	67655
1342	54797	67609
1343	54845	67576
1344	54893	67544
1345	54931	67501
1346	54968	67455
1347	55005	67409
1348	55049	67373
1349	55089	67331
1350	55128	67288
